image_id,discard_reason,technical_warning_name
1430.png,demasiados componentes/células segmentadas,warning_too_many_components
1431.png,demasiados componentes/células segmentadas,warning_too_many_components
1432.png,demasiados componentes/células segmentadas,warning_too_many_components
1437.png,demasiados componentes/células segmentadas,warning_too_many_components
1438.png,demasiados componentes/células segmentadas,warning_too_many_components
1444.png,demasiados componentes/células segmentadas,warning_too_many_components
1446.png,demasiados componentes/células segmentadas,warning_too_many_components
1447.png,demasiados componentes/células segmentadas,warning_too_many_components
1448.png,demasiados componentes/células segmentadas,warning_too_many_components
1449.png,demasiados componentes/células segmentadas,warning_too_many_components
1450.png,demasiados componentes/células segmentadas,warning_too_many_components
1452.png,demasiados componentes/células segmentadas,warning_too_many_components
1453.png,demasiados componentes/células segmentadas,warning_too_many_components
1454.png,demasiados componentes/células segmentadas,warning_too_many_components
1456.png,demasiados componentes/células segmentadas,warning_too_many_components
1457.png,demasiados componentes/células segmentadas,warning_too_many_components
